"current I (A)","magnetic field (B) [T]"
7.7001272499999995,-1.638
7.7517615,-1.6454999999999997
7.802365,-1.6515
7.85259,-1.65775
7.902463999999999,-1.664
7.9526147499999995,-1.66975
8.00300875,-1.67575
8.052344,-1.6815
8.100959499999998,-1.6875
8.14967625,-1.6935
8.198621000000001,-1.6995
8.2468155,-1.70525
8.29625725,-1.7110000000000003
8.34586,-1.7165000000000001
8.3957005,-1.7220000000000002
8.446159,-1.72675
8.49691425,-1.7315
8.54678925,-1.7365
8.596242499999999,-1.741
8.6464545,-1.746
8.6952365,-1.7510000000000001
8.744678500000001,-1.7557500000000001
8.79529875,-1.76075
8.84448275,-1.76575
8.895006500000001,-1.7707499999999998
8.94466525,-1.7755
8.993359750000002,-1.7802499999999999
9.044006750000001,-1.78425
9.093751000000001,-1.78825
9.14455225,-1.7922500000000001
9.19581725,-1.7967499999999998
9.24306875,-1.80125
9.29258325,-1.8057500000000002
9.341596,-1.81
9.39093175,-1.814
9.44169975,-1.818
9.49042175,-1.82225
9.5395975,-1.826
9.58784075,-1.83
9.637932750000001,-1.83375
9.68857875,-1.83775
9.737509750000001,-1.84175
9.787256,-1.8457500000000002
9.8378515,-1.85
